Distance,Time_sec,SteerAngle_[deg],SteerVelo_[deg/s],AccelPedalPosition_[-],AccelPedalSpeed
0,0,-195.112317,38.661234,11.498673,19.2017
0.02002,0.001334667,-194.712071,40.02464,11.69069,17.5123
0.03003,0.002002,-194.294587,41.748355,11.865813,14.2642
0.05005,0.003336667,-193.85574,43.884682,12.008455,9.9845
0.06006,0.004004,-193.391366,46.437482,12.1083,5.5109
0.07001,0.004667333,-192.897472,49.389393,12.163409,1.7484
0.09003,0.006002,-192.370217,52.725494,12.180893,-0.5965
0.10004,0.006669333,-191.805851,56.436523,12.174928,-1.2142
0.12006,0.008004,-191.200869,60.498222,12.162786,-0.2557
0.13001,0.008667333,-190.552458,64.84111,12.160229,1.751
0.15003,0.010002,-189.859123,69.333493,12.177739,4.0968
0.16003,0.010668667,-189.121203,73.792035,12.218707,6.1304
0.18005,0.012003333,-188.34105,78.015313,12.280011,7.4565
0.19,0.012666667,-187.52283,81.821948,12.354576,8.0147
0.21002,0.014001333,-186.672063,85.076741,12.434723,8.0132
0.22003,0.014668667,-185.795042,87.70206,12.514855,7.7553
0.24005,0.016003333,-184.898204,89.683814,12.592408,7.452
0.25,0.016666667,-183.987387,91.081748,12.666928,7.1244
0.27002,0.018001333,-183.066949,92.043792,12.738172,6.6374
0.29004,0.019336,-182.13882,92.812822,12.804546,5.828
0.30005,0.020003333,-181.201722,93.709829,12.862826,4.6387
0.32001,0.021334,-180.250884,95.083836,12.909213,3.1767
0.33002,0.022001333,-179.278541,97.234278,12.94098,1.6771
0.35004,0.023336,-178.275255,100.328577,12.957751,0.4032
0.37006,0.024670667,-177.231793,104.34619,12.961783,-0.4539
0.38001,0.025334,-176.141051,109.074191,12.957244,-0.8338
0.40003,0.026668667,-174.999445,114.160598,12.948906,-0.8066
0.42004,0.028002667,-173.807354,119.209124,12.94084,-0.5263
0.43005,0.02867,-172.56853,123.882473,12.935577,-0.1683
0.45001,0.030000667,-171.288754,127.97751,12.933894,0.1277
0.47003,0.031335333,-169.974286,131.446873,12.935171,0.2865
0.48004,0.032002667,-168.630648,134.363805,12.938036,0.3012
